fid,lo_tp_quad,lo_tp_lote,SQL,IPTU22_QtdProprietarios,IPTU22_AnoConstrucaoCorrigido,IPTU22_AreaTerreno,IPTU22_AreaConstruida,IPTU22_AreaOcupada,IPTU22_CA,IPTU22_QtdPavimentos,IPTU22_QtdEsquinas,IPTU22_TipoTerreno,IPTU22_Testada,IPTU_Progressivo,PEUC,Tombado,Ocupado,Publico,UnicoDono,Tipologia
"5214",F,V,"0020800001","1","1939","184.0","280.0","155.0","15","20","1.0",De esquina,"8,70",Não,Não,Não,Não,Não,Sim,Residencial
"5215",F,F,"0020570058","1","1959","70.0","80.0","40.0","11","20","0.0",Terreno interno,"5,00",Não,Não,Não,Não,Não,Sim,Residencial
"5216",F,F,"0020390085","1","1949","73.0","70.0","70.0","10","10","0.0",Normal,"3,65",Não,Não,Não,Não,Não,Sim,Não Residencial
"5217",F,F,"0020890034","1","1970","250.0","460.0","230.0","18","20","0.0",Normal,"10,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5218",F,F,"0020890045","1","1987","473.0","1896.0","447.0","40","40","2.0",De duas ou mais,"20,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5219",F,F,"0020380060","1","1954","320.0","300.0","300.0","9","10","0.0",Normal,"10,20",Não,Não,Não,Não,Não,Sim,Não Residencial
"5220",F,F,"0080090220","1","1992","352.0","651.0","300.0","18","20","0.0",Normal,"8,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5221",F,F,"0020890022","1","1949","225.0","200.0","200.0","9","10","0.0",Normal,"10,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5222",F,F,"0080380000","2","1970","132.0","98.0","112.0","15","30","0.0",Normal,"5,30",Não,Não,Não,Não,Não,Não,Uso Misto
"5223",F,F,"0020890023","1","1970","216.0","180.0","180.0","8","10","0.0",Normal,"10,00",Não,Não,Não,Não,Não,Sim,Não Residencial
